Date,inr_buy,inr_sell,usd_buy,usd_sell,eur_buy,eur_sell,gbp_buy,gbp_sell,chf_buy,chf_sell,aud_buy,aud_sell,cad_buy,cad_sell,sgd_buy,sgd_sell,jpy_buy,jpy_sell,cny_buy,cny_sell,sar_buy,sar_sell,qar_buy,qar_sell,thb_buy,thb_sell,aed_buy,aed_sell,myr_buy,myr_sell,krw_buy,krw_sell,sek_buy,sek_sell,dkk_buy,dkk_sell,hkd_buy,hkd_sell,kwd_buy,kwd_sell,bhd_buy,bhd_sell
2000-01-01,160.00,160.15,68.40,69.05,68.72,69.37,110.70,111.75,42.81,43.22,44.64,45.06,47.12,47.56,41.06,41.45,6.69,6.76,0.00,0.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.02,0.00,9.24,0.00,8.80,0.00,0.00,0.00,0.00,0.00
2000-01-02,160.00,160.15,68.40,69.05,68.72,69.37,110.70,111.75,42.81,43.22,44.64,45.06,47.12,47.56,41.06,41.45,6.69,6.76,0.00,0.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.02,0.00,9.24,0.00,8.80,0.00,0.00,0.00,0.00,0.00
2000-01-03,160.00,160.15,68.40,69.05,68.72,69.37,110.70,111.75,42.81,43.22,44.64,45.06,47.12,47.56,41.06,41.45,6.69,6.76,0.00,0.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.02,0.00,9.24,0.00,8.80,0.00,0.00,0.00,0.00,0.00
2000-01-04,160.00,160.15,68.40,69.05,68.72,69.37,110.70,111.75,42.81,43.22,44.64,45.06,47.12,47.56,41.06,41.45,6.69,6.76,0.00,0.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.02,0.00,9.24,0.00,8.80,0.00,0.00,0.00,0.00,0.00
2000-01-05,160.00,160.15,68.40,69.05,70.14,70.81,111.85,112.91,43.77,44.18,45.00,45.43,47.26,47.70,41.45,41.85,6.64,6.71,0.00,0.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.16,0.00,9.42,0.00,8.79,0.00,0.00,0.00,0.00,0.00
2000-01-06,160.00,160.15,68.40,69.05,71.01,71.69,112.37,113.44,44.25,44.67,44.90,45.33,47.04,47.49,41.27,41.67,6.62,6.69,0.00,0.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.20,0.00,9.54,0.00,8.79,0.00,0.00,0.00,0.00,0.00
2000-01-07,160.00,160.15,68.40,69.05,70.71,71.38,112.42,113.49,44.08,44.50,44.86,45.28,47.08,47.53,41.16,41.55,6.56,6.62,0.00,0.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.18,0.00,9.50,0.00,8.79,0.00,0.00,0.00,0.00,0.00
2000-01-08,160.00,160.15,68.40,69.05,70.48,71.15,112.57,113.64,43.87,44.29,44.75,45.18,46.88,47.32,41.14,41.53,6.49,6.55,0.00,0.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.17,0.00,9.47,0.00,8.79,0.00,0.00,0.00,0.00,0.00
2000-01-09,160.00,160.15,68.40,69.05,70.48,71.15,112.57,113.64,43.87,44.29,44.75,45.18,46.88,47.32,41.14,41.53,6.49,6.55,0.00,0.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.17,0.00,9.47,0.00,8.79,0.00,0.00,0.00,0.00,0.00
2000-01-10,160.00,160.15,68.40,69.05,70.48,71.15,112.57,113.64,43.87,44.29,44.75,45.18,46.88,47.32,41.14,41.53,6.49,6.55,0.00,0.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.17,0.00,9.47,0.00,8.79,0.00,0.00,0.00,0.00,0.00
2000-01-11,160.00,160.15,68.40,69.05,70.22,70.89,111.74,112.80,43.63,44.04,44.87,45.30,46.98,47.43,41.21,41.60,654.00,6.60,0.00,0.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.12,0.00,9.43,0.00,8.79,0.00,0.00,0.00,0.00,0.00
